status	provider	api	scenario	transport	role	duration_s	exit_code	started_at_utc	ended_at_utc	log	out_dir	codec
PASS	opensips	analyzer	basic_call	UDP	analyze	0	0	2026-08-12T06:40:48Z	2026-08-12T06:40:48Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/basic_call/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/basic_call/UDP	default
PASS	opensips	callback	amr_call	UDP	callee	4	0	2026-08-12T06:40:48Z	2026-08-12T06:40:52Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrnb/UDP/callee.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrnb/UDP	amrnb
PASS	opensips	callback	amr_call	UDP	caller	3	0	2026-08-12T06:40:49Z	2026-08-12T06:40:52Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrnb/UDP/caller.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrnb/UDP	amrnb
PASS	opensips	analyzer	amr_call	UDP	analyze	0	0	2026-08-12T06:40:52Z	2026-08-12T06:40:52Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrnb/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrnb/UDP	amrnb
PASS	opensips	callback	amr_call	UDP	caller	4	0	2026-08-12T06:40:53Z	2026-08-12T06:40:57Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrwb/UDP/caller.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrwb/UDP	amrwb
PASS	opensips	callback	amr_call	UDP	callee	5	0	2026-08-12T06:40:52Z	2026-08-12T06:40:57Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrwb/UDP/callee.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrwb/UDP	amrwb
PASS	opensips	analyzer	amr_call	UDP	analyze	0	0	2026-08-12T06:40:57Z	2026-08-12T06:40:57Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrwb/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrwb/UDP	amrwb
PASS	opensips	callback	amr_call	UDP	callee	4	0	2026-08-12T06:40:57Z	2026-08-12T06:41:01Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrnb_be/UDP/callee.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrnb_be/UDP	amrnb_be
PASS	opensips	callback	amr_call	UDP	caller	3	0	2026-08-12T06:40:58Z	2026-08-12T06:41:01Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrnb_be/UDP/caller.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrnb_be/UDP	amrnb_be
PASS	opensips	analyzer	amr_call	UDP	analyze	0	0	2026-08-12T06:41:01Z	2026-08-12T06:41:01Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrnb_be/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrnb_be/UDP	amrnb_be
PASS	opensips	callback	amr_call	UDP	caller	4	0	2026-08-12T06:41:02Z	2026-08-12T06:41:06Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrwb_be/UDP/caller.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrwb_be/UDP	amrwb_be
PASS	opensips	callback	amr_call	UDP	callee	5	0	2026-08-12T06:41:01Z	2026-08-12T06:41:06Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrwb_be/UDP/callee.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrwb_be/UDP	amrwb_be
PASS	opensips	analyzer	amr_call	UDP	analyze	0	0	2026-08-12T06:41:06Z	2026-08-12T06:41:06Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrwb_be/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/opensips/callback/amr_call/amrwb_be/UDP	amrwb_be
